Id,Label
1,72
2,55
3,64
4,44
5,11
6,05
7,27
8,70
9,72
10,80
11,59
12,93
13,92
14,88
15,90
16,17
17,38
18,41
19,09
20,53
21,69
22,98
23,98
24,12
25,33
26,17
27,03
28,76
29,35
30,33
31,82
32,23
33,94
34,44
35,99
36,32
37,98
38,62
39,84
40,58
41,47
42,92
43,69
44,58
45,11
46,47
47,45
48,44
49,68
50,41
51,31
52,95
53,28
54,78
55,34
56,18
57,06
58,85
59,97
60,08
61,58
62,56
63,36
64,00
65,65
66,71
67,62
68,91
69,57
70,69
71,03
72,01
73,87
74,69
75,62
76,45
77,93
78,13
79,03
80,60
81,44
82,16
83,18
84,42
85,07
86,19
87,41
88,02
89,64
90,95
91,20
92,82
93,94
94,85
95,52
96,23
97,21
98,40
99,35
100,74
101,74
102,04
103,49
104,37
105,10
106,34
107,75
108,30
109,67
110,85
111,27
112,69
113,80
114,70
115,08
116,60
117,79
118,33
119,94
120,77
121,06
122,57
123,01
124,07
125,19
126,08
127,28
128,07
129,87
130,28
131,71
132,32
133,11
134,05
135,94
136,51
137,82
138,61
139,00
140,93
141,10
142,06
143,47
144,68
145,44
146,23
147,82
148,75
149,09
150,25
151,42
152,52
153,57
154,22
155,19
156,88
157,99
158,70
159,69
160,62
161,78
162,34
163,19
164,22
165,11
166,73
167,54
168,91
169,59
170,93
171,07
172,66
173,10
174,30
175,46
176,87
177,91
178,94
179,64
180,99
181,07
182,22
183,26
184,58
185,60
186,26
187,99
188,27
189,97
190,52
191,76
192,94
193,51
194,38
195,58
196,56
197,85
198,85
199,44
200,35
201,84
202,69
203,51
204,60
205,01
206,18
207,97
208,85
209,28
210,02
211,84
212,84
213,13
214,39
215,11
216,77
217,26
218,72
219,39
220,81
221,06
222,40
223,99
224,95
225,63
226,16
227,71
228,81
229,46
230,85
231,37
232,28
233,52
234,17
235,59
236,80
237,91
238,72
239,60
240,06
241,80
242,77
243,58
244,12
245,11
246,43
247,09
248,23
249,44
250,28
251,72
252,71
253,01
254,01
255,64
256,59
257,51
258,27
259,02
260,34
261,03
262,96
263,95
264,70
265,69
266,27
267,01
268,85
269,36
270,07
271,84
272,32
273,26
274,81
275,95
276,87
277,35
278,10
279,02
280,12
281,68
282,60
283,06
284,14
285,92
286,01
287,96
288,33
289,77
290,58
291,06
292,08
293,97
294,80
295,31
296,20
297,56
298,65
299,11
300,33
301,76
302,24
303,69
304,01
305,59
306,93
307,03
308,97
309,88
310,93
311,29
312,25
313,51
314,30
315,44
316,48
317,11
318,34
319,82
320,49
321,60
322,49
323,96
324,72
325,74
326,44
327,00
328,45
329,27
330,65
331,92
332,51
333,81
334,56
335,61
336,81
337,09
338,83
339,58
340,44
341,74
342,51
343,53
344,50
345,45
346,16
347,81
348,02
349,11
350,92
351,90
352,83
353,13
354,22
355,18
356,57
357,82
358,58
359,46
360,82
361,91
362,41
363,79
364,97
365,39
366,11
367,10
368,78
369,00
370,52
371,15
372,67
373,92
374,73
375,43
376,93
377,79
378,45
379,79
380,75
381,71
382,05
383,05
384,46
385,35
386,89
387,06
388,89
389,45
390,57
391,88
392,51
393,87
394,51
395,99
396,06
397,86
398,33
399,74
400,76
401,19
402,08
403,93
404,59
405,30
406,11
407,57
408,65
409,55
410,28
411,92
412,50
413,72
414,61
415,82
416,74
417,22
418,96
419,62
420,34
421,70
422,73
423,10
424,83
425,87
426,01
427,92
428,64
429,79
430,73
431,65
432,06
433,86
434,19
435,99
436,90
437,98
438,00
439,00
440,03
441,91
442,62
443,49
444,38
445,68
446,87
447,08
448,18
449,99
450,26
451,87
452,25
453,50
454,72
455,91
456,94
457,72
458,60
459,51
460,31
461,88
462,74
463,27
464,18
465,52
466,89
467,27
468,33
469,88
470,00
471,53
472,01
473,91
474,62
475,41
476,50
477,45
478,02
479,83
480,90
481,86
482,81
483,57
484,83
485,53
486,36
487,04
488,61
489,16
490,45
491,63
492,74
493,45
494,81
495,28
496,31
497,81
498,92
499,97
500,88
501,96
502,22
503,96
504,04
505,48
506,68
507,42
508,13
509,58
510,72
511,34
512,55
513,57
514,90
515,38
516,39
517,04
518,19
519,20
520,93
521,37
522,67
523,58
524,13
525,01
526,48
527,54
528,35
529,46
530,78
531,98
532,22
533,40
534,66
535,31
536,14
537,30
538,16
539,75
540,62
541,72
542,41
543,23
544,20
545,88
546,69
547,80
548,57
549,25
550,28
551,02
552,84
553,85
554,31
555,72
556,68
557,86
558,19
559,64
560,00
561,38
562,93
563,85
564,39
565,30
566,75
567,41
568,34
569,41
570,42
571,30
572,72
573,27
574,02
575,36
576,61
577,36
578,16
579,41
580,49
581,66
582,18
583,55
584,75
585,06
586,19
587,59
588,16
589,17
590,30
591,47
592,83
593,94
594,61
595,11
596,65
597,86
598,08
599,02
600,89
601,63
602,21
603,70
604,74
605,76
606,25
607,92
608,63
609,39
610,48
611,21
612,13
613,17
614,93
615,04
616,55
617,11
618,11
619,01
620,86
621,93
622,85
623,76
624,22
625,55
626,81
627,21
628,59
629,76
630,23
631,36
632,09
633,36
634,36
635,53
636,76
637,16
638,50
639,00
640,78
641,83
642,24
643,96
644,68
645,69
646,11
647,87
648,85
649,88
650,01
651,99
652,52
653,88
654,70
655,78
656,26
657,56
658,05
659,35
660,52
661,17
662,62
663,93
664,00
665,93
666,40
667,82
668,55
669,91
670,19
671,21
672,32
673,38
674,15
675,70
676,06
677,32
678,19
679,32
680,32
681,40
682,62
683,21
684,74
685,40
686,05
687,64
688,88
689,28
690,26
691,14
692,66
693,33
694,14
695,79
696,67
697,79
698,47
699,73
700,15
701,26
702,97
703,15
704,87
705,63
706,31
707,90
708,11
709,30
710,50
711,58
712,14
713,80
714,15
715,30
716,68
717,58
718,16
719,57
720,17
721,86
722,28
723,78
724,31
725,29
726,79
727,76
728,67
729,51
730,56
731,49
732,04
733,28
734,33
735,45
736,68
737,13
738,11
739,86
740,54
741,62
742,09
743,86
744,44
745,13
746,39
747,52
748,64
749,84
750,34
751,14
752,18
753,97
754,57
755,46
756,58
757,25
758,38
759,75
760,07
761,46
762,85
763,08
764,12
765,81
766,32
767,18
768,34
769,86
770,04
771,55
772,42
773,54
774,37
775,17
776,55
777,76
778,57
779,86
780,39
781,80
782,00
783,33
784,26
785,51
786,47
787,11
788,17
789,22
790,21
791,80
792,00
793,64
794,14
795,93
796,14
797,10
798,95
799,92
800,46
801,72
802,25
803,88
804,59
805,11
806,40
807,02
808,17
809,66
810,57
811,24
812,61
813,42
814,79
815,97
816,64
817,89
818,48
819,57
820,20
821,17
822,80
823,64
824,03
825,30
826,95
827,76
828,65
829,12
830,58
831,20
832,40
833,65
834,13
835,78
836,11
837,33
838,86
839,32
840,51
841,49
842,52
843,69
844,75
845,81
846,67
847,98
848,53
849,67
850,51
851,08
852,65
853,02
854,33
855,48
856,83
857,37
858,80
859,01
860,63
861,22
862,09
863,57
864,82
865,19
866,56
867,62
868,10
869,74
870,93
871,61
872,09
873,14
874,68
875,42
876,11
877,11
878,43
879,02
880,54
881,41
882,46
883,37
884,18
885,46
886,55
887,00
888,34
889,26
890,22
891,60
892,04
893,68
894,75
895,02
896,24
897,64
898,64
899,57
900,20
901,74
902,71
903,37
904,85
905,47
906,95
907,07
908,13
909,63
910,26
911,43
912,81
913,45
914,76
915,66
916,12
917,11
918,84
919,87
920,00
921,81
922,97
923,25
924,46
925,56
926,66
927,72
928,68
929,15
930,37
931,56
932,23
933,32
934,44
935,26
936,71
937,39
938,14
939,85
940,73
941,51
942,16
943,02
944,03
945,01
946,46
947,14
