Id,Label
1,033
2,724
3,463
4,395
5,383
6,177
7,539
8,494
9,091
10,362
11,549
12,770
13,974
14,044
15,650
16,303
17,773
18,622
19,005
20,280
21,429
22,134
23,597
24,546
25,790
26,062
27,196
28,621
29,299
30,253
31,942
32,368
33,129
34,971
35,205
36,202
37,859
38,358
39,881
40,629
41,718
42,289
43,592
44,735
45,820
46,086
47,830
48,406
49,086
50,773
51,159
52,924
53,597
54,533
55,003
56,015
57,380
58,964
59,383
60,766
61,281
62,691
63,499
64,417
65,493
66,444
67,194
68,057
69,161
70,224
71,830
72,602
73,165
74,929
75,907
76,060
77,511
78,740
79,677
80,877
81,780
82,664
83,746
84,275
85,364
86,104
87,993
88,487
89,338
90,534
91,305
92,428
93,814
94,754
95,328
96,434
97,335
98,182
99,633
100,404
101,882
102,830
103,684
104,785
105,645
106,525
107,845
108,165
109,337
110,584
111,462
112,493
113,984
114,419
115,217
116,330
117,346
118,690
119,419
120,271
121,095
122,717
123,169
124,593
125,204
126,742
127,215
128,201
129,571
130,572
131,946
132,154
133,566
134,250
135,445
136,910
137,601
138,197
139,479
140,403
141,986
142,339
143,760
144,592
145,157
146,837
147,945
148,568
149,574
150,484
151,847
152,282
153,087
154,510
155,671
156,169
157,192
158,543
159,096
160,065
161,842
162,280
163,511
164,494
165,512
166,759
167,112
168,194
169,256
170,237
171,102
172,376
173,575
174,797
175,910
176,676
177,601
178,080
179,955
180,163
181,715
182,420
183,291
184,081
185,451
186,146
187,717
188,727
189,941
190,014
191,022
192,808
193,610
194,711
195,810
196,558
197,381
198,700
199,143
200,402
201,784
202,424
203,690
204,595
205,572
206,656
207,218
208,929
209,578
210,050
211,952
212,741
213,825
214,823
215,028
216,860
217,923
218,032
219,877
220,398
221,534
222,970
223,630
224,040
225,092
226,136
227,059
228,177
229,833
230,885
231,125
232,996
233,109
234,160
235,051
236,278
237,729
238,269
239,133
240,631
241,098
242,263
243,860
244,282
245,437
246,031
247,008
248,268
249,279
250,505
251,788
252,071
253,527
254,851
255,327
256,262
257,566
258,597
259,510
260,101
261,855
262,917
263,981
264,391
265,420
266,245
267,421
268,837
269,238
270,175
271,718
272,952
273,041
274,636
275,364
276,216
277,872
278,772
279,673
280,386
281,184
282,746
283,949
284,586
285,063
286,908
287,642
288,566
289,786
290,658
291,910
292,930
293,752
294,722
295,859
296,829
297,825
298,484
299,999
300,021
301,057
302,149
303,485
304,778
305,283
306,244
307,302
308,011
309,837
310,727
311,828
312,363
313,929
314,904
315,038
316,591
317,643
318,777
319,223
320,108
321,257
322,039
323,139
324,964
325,797
326,549
327,171
328,186
329,545
330,976
331,122
332,893
333,938
334,118
335,902
336,849
337,919
338,436
339,183
340,240
341,005
342,303
343,791
344,220
345,849
346,501
347,457
348,533
349,286
350,396
351,608
352,787
353,215
354,109
355,688
356,669
357,226
358,792
359,080
360,126
361,122
362,805
363,166
364,085
365,764
366,608
367,297
368,733
369,691
370,065
371,190
372,703
373,838
374,590
375,270
376,877
377,231
378,791
379,860
380,178
381,191
382,292
383,256
384,304
385,890
386,747
387,279
388,999
389,186
390,770
391,149
392,793
393,083
394,228
395,830
396,510
397,511
398,214
399,131
400,152
401,052
402,560
403,361
404,248
405,332
406,683
407,486
408,851
409,399
410,211
411,240
412,430
413,667
414,275
415,923
416,475
417,552
418,381
419,636
420,177
421,246
422,956
423,142
424,469
425,664
426,202
427,614
428,829
429,359
430,976
431,119
432,156
433,423
434,518
435,062
436,732
437,449
438,071
439,620
440,800
441,689
442,985
443,717
444,496
445,481
446,545
447,114
448,820
449,160
450,788
451,644
452,482
453,848
454,630
455,451
456,314
457,325
458,542
459,385
460,624
461,782
462,632
463,299
464,700
465,416
466,244
467,072
468,465
469,816
470,246
